City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,kailua-kona,19.6406,-155.9956,22.980000000000018,81,0,1.54,US,1713707214
102,vilyuchinsk,52.9306,158.4028,1.150000000000034,93,98,1.8,RU,1713707215
103,carnarvon,-24.8667,113.6333,25.720000000000027,48,0,8.71,AU,1713707071
104,bredasdorp,-34.5322,20.0403,23.110000000000014,64,82,4.14,ZA,1713707171
105,hanceville,34.0607,-86.7675,10.950000000000045,65,100,4.55,US,1713707216
106,smithtown,40.8559,-73.2007,10.120000000000005,50,75,2.57,US,1713707162
107,cheney,47.4874,-117.5758,4.189999999999998,62,75,7.72,US,1713707217
108,saint-philippe,-21.3585,55.7679,25.060000000000002,84,99,2.39,RE,1713707217
109,stanley,54.868,-1.6985,9.740000000000009,61,40,2.06,GB,1713707217
110,udachny,66.4167,112.4,-1.419999999999959,95,100,4.79,RU,1713707218
111,punta arenas,-53.15,-70.9167,6.060000000000002,81,0,6.69,CL,1713707219
112,keflavik,64.0049,-22.5624,7.240000000000009,65,20,10.8,IS,1713707219
113,ust-nera,64.5667,143.2,-7.919999999999959,99,89,1.01,RU,1713707219
114,boyolangu,-8.1181,111.8935,25.420000000000016,94,100,1.82,ID,1713707219
115,nar'yan-mar,67.6713,53.087,-11.609999999999957,89,100,6.71,RU,1713707220
116,vadso,70.0744,29.7487,-0.9099999999999682,59,75,6.69,NO,1713707220
117,arraial do cabo,-22.9661,-42.0278,26.980000000000018,54,0,4.12,BR,1713707221
118,egilsstadir,65.2653,-14.3948,6.9500000000000455,49,0,9.26,IS,1713707222
119,la mira,18.035,-102.3266,24.230000000000018,58,0,0.55,MX,1713707223
120,tiksi,71.6872,128.8694,-3.0499999999999545,96,100,2.22,RU,1713707223
121,port lincoln,-34.7333,135.8667,13.910000000000025,78,0,2.73,AU,1713707224
122,amper,9.35,9.7,40.950000000000045,19,54,4.75,NG,1713707224
123,cruzeiro,-22.5761,-44.9628,20.090000000000032,53,0,0.58,BR,1713707143
124,arno,60.1167,18.6333,-0.67999999999995,68,100,7.98,SE,1713707225
125,selkirk,50.1436,-96.8845,4.490000000000009,79,83,0.89,CA,1713707226
126,praia da vitoria,38.7333,-27.0667,20.140000000000043,73,40,6.73,PT,1713707226
127,hailar,49.2,119.7,14.140000000000043,55,100,6.3,CN,1713707227
128,sitka,57.0531,-135.33,7.939999999999998,57,75,3.6,US,1713707227
129,inirida,3.8653,-67.9239,24.27000000000004,98,100,2.02,CO,1713707228
130,puerto lempira,15.2667,-83.7667,29.08000000000004,74,40,1.03,HN,1713707228
131,yellowknife,62.456,-114.3525,0.2300000000000182,81,20,4.12,CA,1713707024
132,fale old settlement,-9.3852,-171.2468,29.189999999999998,76,14,4.54,TK,1713707229
133,sovetskiy,61.3614,63.5842,4.939999999999998,93,27,4.92,RU,1713707229
134,kalmunai,7.4167,81.8167,28.680000000000007,81,76,4.74,LK,1713707230
135,ormara,25.2088,64.6357,26.720000000000027,76,0,9.67,PK,1713707230
136,madras,13.0878,80.2785,31.99000000000001,82,20,4.12,IN,1713707091
137,ishigaki,24.3448,124.1572,26.07000000000005,100,49,2.57,JP,1713707040
138,saint-pierre,-21.3393,55.4781,25.100000000000023,79,98,0.5,RE,1713707231
139,isna,25.2934,32.554,36.379999999999995,9,0,4.97,EG,1713707232
140,san jose de jachal,-30.2406,-68.7469,19.010000000000048,55,20,1.65,AR,1713707232
141,andergrove,-21.0833,149.1833,19.80000000000001,79,19,6.95,AU,1713707232
142,kerman,30.2832,57.0788,21.920000000000016,30,40,9.26,IR,1713707114
143,sola,-13.8833,167.55,27.879999999999995,79,100,2.83,VU,1713707233
144,avarua,-21.2078,-159.775,25.03000000000003,78,48,1.54,CK,1713707234
145,geraldton,-28.7667,114.6,17.230000000000018,82,0,2.06,AU,1713707234
146,kodiak,57.79,-152.4072,2.730000000000018,93,100,1.54,US,1713707234
147,hobyo,5.3505,48.5268,30.100000000000023,69,100,3.4,SO,1713707235
148,tocopilla,-22.092,-70.1979,21.99000000000001,65,4,1.39,CL,1713707236
149,arauca,7.0847,-70.7591,25.980000000000018,89,40,0.0,CO,1713707237
150,el calafate,-50.3408,-72.2768,4.610000000000014,58,14,3.98,AR,1713707237
151,enterprise,36.0252,-115.2419,22.620000000000005,29,0,2.06,US,1713707237
152,lubao,14.9167,120.55,30.840000000000032,63,89,0.85,PH,1713707238
153,leer,53.2316,7.461,10.560000000000002,62,99,1.34,DE,1713707238
154,wailua homesteads,22.0669,-159.378,21.439999999999998,80,75,7.2,US,1713707238
155,lompoc,34.6391,-120.4579,16.03000000000003,97,100,2.57,US,1713707239
156,happy valley-goose bay,53.3168,-60.3315,7.170000000000016,61,75,3.6,CA,1713707240
157,el granada,37.5027,-122.4694,12.879999999999995,91,100,5.14,US,1713707240
158,tayshet,55.9342,98.0044,-4.109999999999957,93,37,2.73,RU,1713707241
159,anadyr,64.75,177.4833,-8.71999999999997,62,100,11.0,RU,1713707091
160,constitucion,-35.3333,-72.4167,15.939999999999998,48,100,1.32,CL,1713707241
161,marsh harbour,26.5412,-77.0636,24.0,68,80,5.19,BS,1713707242
162,dej,47.15,23.8667,16.620000000000005,47,75,2.55,RO,1713707242
163,mili,6.0815,171.735,27.900000000000034,84,100,9.49,MH,1713707242
164,tulu bolo,8.6667,38.2167,25.340000000000032,35,100,3.96,ET,1713707243
165,amga,60.8953,131.9608,-0.16999999999995907,77,91,4.17,RU,1713707243
166,chiang rai,19.9167,99.9167,30.99000000000001,48,0,0.0,TH,1713707135
167,hwange,-18.3693,26.5019,33.620000000000005,16,0,3.07,ZW,1713707244
168,ilulissat,69.2167,-51.1,1.0100000000000477,60,40,2.06,GL,1713707203
169,myrina,39.8797,25.0742,18.58000000000004,52,20,11.32,GR,1713707245
170,puerto aysen,-45.4,-72.7,4.6299999999999955,87,100,0.57,CL,1713707245
171,manismata,-2.4667,111.0333,24.100000000000023,99,100,1.48,ID,1713707234
172,cockburn town,21.4612,-71.1419,24.760000000000048,75,70,7.6,TC,1713707246
173,puerto leguizamo,-0.1934,-74.7819,25.410000000000025,90,98,0.92,CO,1713707246
174,east london,-33.0153,27.9116,23.52000000000004,88,100,6.17,ZA,1713707247
175,schofield barracks,21.4936,-158.0615,22.180000000000007,83,0,1.54,US,1713707247
